region,name,temp_range,init_mean_rcp85,min_mean_rcp85,max_mean_rcp85,avg_mean_rcp85,var_mean_rcp85,roc_mean_rcp85,init_mean_rcp45,min_mean_rcp45,max_mean_rcp45,avg_mean_rcp45,var_mean_rcp45,roc_mean_rcp45,init_mean_rcp26,min_mean_rcp26,max_mean_rcp26,avg_mean_rcp26,var_mean_rcp26,roc_mean_rcp26,range_mean_rcp85,range_mean_rcp45,range_mean_rcp26
1,East bering sea,1.230199337,4.911751,4.774715,9.0292845,6.76473,1.73125304,0.05000182429,4.824088,4.824088,6.869682,6.003315,0.3944787234,0.02332861427,5.4987807,4.903296,6.531247,5.884979,0.1375590396,0.01012419256,4.2545695,2.045594,1.627951
2,gulf of alaska,2.382953167,10.257032,10.131454,13.817023,11.846995,1.194193209,0.04157383861,10.353555,10.308153,11.959689,11.243244,0.2797155119,0.01947283646,10.075177,9.961329,11.403892,10.842704,0.1271525263,0.0103275768,3.685569,1.651536,1.442563
3,california current,4.628319263,17.605526,17.605526,20.906023,19.143753,0.9169099561,0.03649547015,17.685484,17.674076,19.121788,18.47916,0.2200721018,0.01733988457,17.595806,17.362211,18.688356,18.26784,0.07223399865,0.00789333891,3.300497,1.447712,1.326145
4,gulf of california,2.622873306,26.404886,26.404886,29.475803,27.828953,0.85165099,0.03519859689,26.40147,26.40147,27.78965,27.186596,0.1766118297,0.01565120047,26.679516,26.597572,27.492157,27.18055,0.04481530084,0.005788382678,3.070917,1.38818,0.894585
5,gulf of mexico,1.223297119,25.860142,25.860142,28.951586,27.285759,0.8473231635,0.03513884037,25.805954,25.805954,27.26279,26.668625,0.1694973956,0.015384105,26.36205,26.328762,27.219332,26.924992,0.04074766483,0.005313744643,3.091444,1.456836,0.89057
6,southeast u.s. continental shelf,1.721759796,25.327065,25.327065,28.274017,26.700493,0.7800685766,0.03371477802,25.234238,25.234238,26.629179,26.084513,0.1585325345,0.01484175215,25.69574,25.69574,26.565422,26.320375,0.03743749556,0.005402185864,2.946952,1.394941,0.869682
7,northeast u.s. continental shelf,4.198076248,17.232721,17.232721,20.94901,18.971441,1.139974679,0.04069863771,17.234196,17.234196,19.135363,18.348635,0.280236193,0.01957510393,17.370886,17.229914,18.766224,18.158937,0.1055266676,0.007688489714,3.716289,1.901167,1.53631
8,scotian shelf,2.373043776,9.986763,9.906069,14.374993,11.891544,1.756663573,0.05040674336,9.936981,9.936981,12.144037,11.203746,0.3957206366,0.02319009263,9.738863,9.339485,11.2812805,10.472371,0.2159417958,0.01228779397,4.468924,2.207056,1.9417955
9,newfoundland-labrador shelf,3.537288189,5.0698204,5.020983,8.573402,6.4310637,1.127345578,0.04011725106,5.003193,5.003193,6.407174,5.8003063,0.1716019757,0.01529686035,5.0600543,4.8031707,6.3285646,5.6612935,0.09553602875,0.007452358249,3.552419,1.403981,1.5253939
10,insular pacific-hawaiian,0.9293050766,23.844385,23.844385,27.094215,25.411243,0.9214728159,0.03662102137,23.889545,23.889545,25.37508,24.824007,0.18852154,0.01610938706,23.88476,23.88476,24.87718,24.453945,0.04776643154,0.006168300809,3.24983,1.485535,0.99242
11,pacific central-american coastal,1.637466431,27.84529,27.740026,30.882872,29.215462,0.8826348563,0.03578779941,27.792526,27.674948,29.180897,28.576199,0.1778097582,0.01570990955,27.95712,27.95712,28.885914,28.500866,0.04532747814,0.005750299041,3.142846,1.505949,0.928794
12,caribbean sea,0.436545372,27.003563,26.964527,29.817785,28.290516,0.743106271,0.03289762636,26.89679,26.89679,28.197004,27.68039,0.1446314825,0.01418658931,27.140238,27.140238,28.016798,27.683699,0.03744472404,0.005313648777,2.853258,1.300214,0.87656
13,humboldt current,7.962030411,18.260447,18.109497,20.974863,19.432877,0.6818756834,0.03137794493,18.245274,18.144085,19.496723,18.899017,0.1445174159,0.01428313347,17.784222,17.784222,18.685917,18.333328,0.05066142686,0.007071398225,2.865366,1.352638,0.901695
14,patagonian shelf,4.819134712,12.245525,12.193168,14.808751,13.353965,0.5951036631,0.02932783564,12.259631,12.170389,13.347036,12.882427,0.1105706115,0.01243827026,12.47538,12.47538,13.140904,12.832103,0.02421727129,0.003811690426,2.615583,1.176647,0.665524
15,south brazil shelf,2.726273537,22.624184,22.624184,25.190895,23.803421,0.610175319,0.02973512823,22.623129,22.623129,23.830976,23.286821,0.1301821543,0.01346963861,22.426327,22.426327,23.28753,22.926807,0.03905243466,0.005671995805,2.566711,1.207847,0.861203
16,east brazil shelf,0.6132965088,26.257277,26.079931,28.945614,27.424522,0.7246324533,0.03244933361,26.128696,26.122774,27.335882,26.841116,0.1276341355,0.01325658233,25.986343,25.946697,26.99024,26.5255,0.0492007014,0.005662877317,2.865683,1.213108,1.043543
17,north brazil shelf,0.1599531174,27.417562,27.249117,30.229652,28.635935,0.7746411541,0.03356364231,27.223932,27.211786,28.512402,27.993969,0.1399579934,0.01390583693,27.274982,27.268946,28.01696,27.715082,0.03854117983,0.004771010988,2.980535,1.300616,0.748014
18,canadian eastern arctic-west greenland,,0.82644975,0.67502815,2.734016,1.5494034,0.341070079,0.02202988167,0.84348506,0.809533,1.5183239,1.2056473,0.04617239986,0.007950440457,0.6766956,0.6766956,1.483688,1.0958273,0.027182497,0.003191238035,2.05898785,0.7087909,0.8069924
